year,pop,growthpercent
1698,4937,0    
1712,5840,+18.3
1723,7248,+24.1
1737,10664,+47.1
1746,11717,+9.9
1756,13046,+11.3
1771,21863,+67.6
1790,49401,+126.0
1800,79216,+60.4
1810,119734,+51.1
1820,152056,+27.0
1830,242278,+59.3
1840,391114,+61.4
1850,696115,+78.0
1860,1174779,+68.8
1870,1478103,+25.8
1880,1911698,+29.3
1890,2507414,+31.2
1900,3437202,+37.1
1910,4766883,+38.7
1920,5620048,+17.9
1930,6930446,+23.3
1940,7454995,+7.6
1950,7891957,+5.9
1960,7781984,−1.4
1970,7894862,+1.5
1980,7071639,−10.4
1990,7322564,+3.5
2000,8008288,+9.4
2010,8175133,+2.1
2015,8550405,+4.6
