year,pop,noth,ing
1921,3.7563772095147616,0,0
1925,4.56186771995211,237,115846.67510548534
1930,5.426447504501713,0,0
1935,6.365101527328825,65,1289.9999999999995
1940,7.347406330223694,0,0
1945,3.490725996545623,0,0
1950,6.2977588551209305,0,0
1955,8.0624148642002,63,989.9682539682541
1960,9.680215039588078,69,1147.7681159420292
1965,10.820247826736253,57,617.2280701754381
1970,11.382543849057396,0,0
1975,11.6722652415176158,0,0
1980,11.62070998461805,0,0
1985,11.830173191308412,0,0
1990,11.862510334255550365,0,0
1995,11.79954641621562,0,0
2000,12.0587550070085,0,0
2005,12.58,0,0
2006,12.79,0,0
2007,12.79,0,0
2008,12.90,0,0
2009,12.99,0,0
2010,13.16,0,0
2011,13.19,0,0
2012,13.22,0,0
2013,13.29,0,0
